"","tract","meanP","meanN","meanV","meanA","meanD","population16","employment","employment_percent","median_household","means_household","cash_public","food_stamp","med_age","age_me","num_of_users","num_of_tweets","bachelor","bachelor_percent","gyrByCensus","Automobile","Drove.Alone","Public.Transit","Walking","Bicycle","Other","Worked.Home","No.vehicle","One.vehicle","Two.vehicles","Three.vehicles","HoursPerWeek","Quintile.3Mbps","Total.Drivers","Mean.Travel.Time.min","not.alone","medlog","pubtrans","HO.vacancy.rate","Rental.vacancy.rate","median.rooms","Owner.occupied","Renter.occupied","Average.household.OO","Average.household.RO","OPR.....1.00","OPR..1.x..1.5","OPR.....1.51","Mortgage.units","Per.mortgage.OO","HH.Size","One.vehicle.plus"
"1434",5758.02,1.67786561264822,-1.36843591191417,5.87867323999407,4.25197949925227,5.66893867761033,3491,2280,65.3,32207,40481,238,475,27.1,1.7,19,54,188,7.1,458251.669063267,73.2,49.5,22.6,2,0,0.8,1.4,13.5,44.4,23.7,18.4,37.8,3,1888,36.1,50.5,10.3799390992108,3.11794990627824,0,11,3.5,17.8,82.2,3.97,3.08,68.7,16.1,15.1,206,76,3.23842,86.5
"1435",5758.03,1.69786096256684,-1.5,5.67281258956097,4.26446353333045,5.56075132779397,1813,1065,58.7,21270,35472,13,285,31.7,8.1,17,36,199,12.7,597404.619726961,57.8,48.4,28.1,8.8,1,3.3,0.9,20.1,36.3,16.3,27.3,39.6,3,1149,32.9,51.6,9.96505290819428,3.3357695763397,0,9.1,3.1,7.4,92.6,1.65,2.4,81,8.4,10.6,72,84.7,2.3445,79.9
"1436",5759.02,1.44600401031223,-1.24291034087654,5.8193292463718,4.27056878516413,5.56090499723512,4067,2712,66.7,31089,44705,90,195,37.7,2.4,104,540,860,25.1,1530044.98447084,62.7,56.6,19.8,7.2,2.6,1,6.7,13.1,49.8,16.8,20.3,37.8,5,2422,32,43.4,10.3446093378523,2.98568193770049,0,6.4,2.8,15.3,84.7,1.52,1.82,90.3,4.2,5.5,308,73,1.7741,86.9
"1437",5760.01,1.59667996580222,-1.34219150755201,5.94372425260227,4.26863097823914,5.6305305956596,4781,3496,73.1,68514,93369,86,81,38.4,2,1079,5291,1306,30.2,328392.906782078,73.1,62.2,8.5,12,0.9,0.7,4.8,11.5,36,43.1,9.3,39.7,4,3340,31.6,37.8,11.1347933829297,2.14006616349627,4.2,12.7,3.3,39.1,60.9,1.66,1.87,92.8,2.5,4.7,958,81.3,1.78789,88.4
"1438",5762,1.51484924053503,-1.34436635683518,5.92538031128456,4.34502249662681,5.59816997027068,4977,3461,69.5,35243,49100,166,404,33.7,2.6,276,1609,766,17.9,139008.848200019,69.4,61.2,17.3,8.5,1.6,0.5,2.6,12.6,40.6,41.6,5.2,39.2,3,2786,35.4,38.8,10.4700222069602,2.85070650150373,15.7,4.4,3,11.9,88.1,2.25,2.03,86.8,5.1,8.1,227,68.6,2.05618,87.4
"1439",5763.01,1.67896060352054,-1.40653813914501,5.84558614783825,4.2615225750708,5.61042502088658,3699,2600,70.3,32488,53710,90,233,30.7,2.5,82,1119,438,15.5,91522.0240473111,61.4,56.4,16.4,11.2,0.8,0,10.1,5.5,33.4,49.3,11.8,36.1,4,1905,28.6,43.6,10.3886260693661,2.79728133483015,7.8,4.4,3.5,19.1,80.9,2.36,2.78,77.7,16.2,6.1,285,93.1,2.69978,94.5
"1440",5763.02,1.61433021806854,-1.46105919003115,5.7360768674071,4.2474434857531,5.54115966981964,2663,1459,54.8,29135,35950,189,308,26.3,2.9,18,739,53,2.4,12789.3599627918,66.2,49,14.6,9.6,0,1.3,8.4,14.4,35.7,24.3,25.6,35.9,3,1444,24.5,51,10.2796954795772,2.68102152871429,0,8.1,3.6,14.4,85.6,4.91,3.34,74.1,10.8,15.1,153,90.5,3.56608,85.6
"1441",5764.01,1.58942004367872,-1.38655666100461,5.73020615403581,4.23503723595316,5.58709571833022,3449,2030,58.9,29255,43596,124,316,24.8,2.3,24,1728,52,2.1,61082.4582026631,72,58.9,12.1,5.3,1.2,2.3,7.2,15.2,28.2,43.9,12.8,34.1,3,1602,29.6,41.1,10.2838057782223,2.4932054526027,0,3.1,3.8,8.8,91.2,4.26,4.24,54.3,26.4,19.2,94,89.5,4.24176,84.9
"1442",5764.02,1.4628801431127,-1.50894454382826,5.63917965273512,4.25309797871991,5.5255003047455,3219,1971,61.2,30268,38480,170,366,27.2,2.2,12,52,86,3.5,297376.257875435,86.2,65.3,5.6,1.3,0.6,0.7,5.6,11.3,34.1,32,22.7,35.8,3,1392,26.9,34.7,10.3178463278144,1.7227665977411,0,5.9,3.8,15.6,84.4,2.63,3.52,75.3,10.1,14.7,140,70,3.38116,88.8
"1443",5764.03,1.56136716727084,-1.50336613153806,5.71221377666837,4.26239115476047,5.55033021735294,3796,2391,63,32010,44056,222,477,26,1.9,25,117,160,5.6,8567.38244675802,80.9,60.7,9.3,4.2,0.6,1.5,3.6,11.5,37.5,29.6,21.4,35.9,4,1749,31.4,39.3,10.3738036329639,2.23001440015921,0,7.3,4,15.9,84.1,4.05,3.5,77.9,17.2,4.9,163,70,3.58745,88.5
"1444",5765.01,1.7247311827957,-1.37956989247312,5.8978168698678,4.20579937498166,5.62424334606899,2682,1734,64.7,31490,49284,136,202,40.7,4.8,71,852,412,18.2,99142.202151172,77.2,67.6,7.9,5.1,1.7,1.9,6.2,7.7,49.7,27.1,15.5,34.6,3,1418,27.2,32.4,10.3574253140951,2.06686275947298,10.3,6.9,3.3,13.9,86.1,1.48,2.07,92,6.8,1.2,144,69.2,1.98799,92.3
"1445",5765.02,1.49611856033874,-1.37544107268878,5.75801889470182,4.19293436960209,5.5802788437318,3936,3036,77.1,38750,55075,130,309,28.8,2.4,46,729,551,17.6,24409.1202770102,69,55,15.2,1.4,3.1,0.3,11,9.1,60.7,25.8,4.3,37.8,4,2144,32.6,45,10.5648860347815,2.72129542785223,5.8,1.3,3.5,20.3,79.7,2.11,2.44,88.3,6.4,5.3,375,88,2.37301,90.8
"1446",5765.03,1.47835497835498,-1.42911255411255,5.7810794885332,4.27391549164311,5.58580272798413,3310,2273,68.7,33632,43019,114,192,32.6,2.7,54,981,313,11.8,28464.3314997595,72.4,65.1,16.4,2.3,4.2,2.3,2.4,15.9,47.2,31,5.9,37,4,1780,31.3,34.9,10.4232332736767,2.79728133483015,0,3,3.3,16,84,2.14,2.22,88.2,8.8,3,220,75.3,2.2072,84.1
"1447",5766.01,1.57815845824411,-1.43201284796574,5.84537780694064,4.24032876333914,5.61685208593479,4311,3632,84.2,46778,67018,78,93,36.8,3.1,99,479,1146,33,124771.80601617,77.1,73.2,11.7,3.2,0,2,6,3.7,39.4,51.1,5.9,39.5,4,2924,36.2,26.8,10.7531682859108,2.45958884180371,3.3,5.2,3.2,25,75,1.54,1.59,97.6,0.7,1.6,520,72.8,1.5775,96.4
"1448",5766.02,1.68723747980614,-1.35767366720517,5.87057473491014,4.28227743666798,5.66104145371055,3653,2853,78.1,56518,70833,68,66,40.3,2.9,169,1392,979,30,166049.265063125,82.8,74.2,4.5,2.7,0,0.9,9,8.8,54.3,33.4,3.5,40.9,4,2243,32.3,25.8,10.9423144504682,1.50407739677627,12.6,7.9,3.5,18.9,81.1,1.61,1.48,97.6,1.2,1.1,336,69.1,1.50457,91.2
