Incident Number,Date Occurred,UCR,UCR Description,Location,Gang Related,Latitude,Longitude,Map Point
160117220,09/17/2016 12:00:00 AM,0660,Larceny - Bicycle,200BLK BICKNELL AVE ,true,34.0069166671325,-118.487319443777,"(34.0069166671325, -118.487319443777)"
160117237,09/18/2016 12:00:00 AM,0450,Simple Assault,500BLK BAY ST,true,34.0099583336879,-118.484972221716,"(34.0099583336879, -118.484972221716)"
160117273,09/18/2016 12:00:00 AM,2100,DUI,3RD STREET PROM / ARIZONA AVE,true,34.0169722222222,-118.497638888889,"(34.0169722222222, -118.497638888889)"
160117340,09/15/2016 12:00:00 AM,0640,Larceny - From Vehicle,1900BLK 18TH ST ,true,34.0196805565681,-118.473180556747,"(34.0196805565681, -118.473180556747)"
160117349,09/19/2016 12:00:00 AM,0511,Burglary-Force Resd,2200BLK 4TH ST,true,34.0069583336029,-118.484513889158,"(34.0069583336029, -118.484513889158)"
160128706,09/30/2016 12:00:00 AM,1100,Fraud,600BLK PAPER MILL RD,false,,,
160122633,09/29/2016 12:00:00 AM,0670,Larceny - From Building,1900BLK OCEAN AVE,true,34.0069861118339,-118.490097222397,"(34.0069861118339, -118.490097222397)"
160122672,09/24/2016 12:00:00 AM,0710,GTA - Passenger Car,2500BLK CALIFORNIA AVE,false,34.0370416668487,-118.47947222198,"(34.0370416668487, -118.47947222198)"
160122692,09/16/2016 12:00:00 AM,1700,Sex Offenses - Other,800BLK SANTA MONICA BLVD ,true,34.0198472224993,-118.490888888554,"(34.0198472224993, -118.490888888554)"
160122693,09/29/2016 12:00:00 AM,0640,Larceny - From Vehicle,1800BLK MARINE ST ,true,34.0095555556108,-118.461374999905,"(34.0095555556108, -118.461374999905)"
160140900,09/22/2016 12:00:00 AM,1100,Fraud,SANTA MONICA AIRPORT,false,,,
160123313,10/01/2016 12:00:00 AM,1822,Narco Possess-Marijuana,LINCOLN BLVD / OLYMPIC BLVD E ,true,34.0145,-118.4855,"(34.0145, -118.4855)"
160127781,10/12/2016 12:00:00 AM,0690,Larceny - Other,2300BLK PICO BLVD ,true,34.0218055556838,-118.465041666441,"(34.0218055556838, -118.465041666441)"
160132768,10/16/2016 12:00:00 AM,0521,Burglay-Unlaw Entry-Resd,2100BLK ARIZONA AVE,true,34.0313611111111,-118.479888888889,"(34.0313611111111, -118.479888888889)"
160132777,10/23/2016 12:00:00 AM,1823,Narco Possess-Synthetic,CLOVERFIELD BLVD / SANTA MONICA BLVD,true,34.0311388888889,-118.476972222222,"(34.0311388888889, -118.476972222222)"
160132780,10/22/2016 12:00:00 AM,1400,Vandalism,1000BLK 19TH ST,true,34.0326388897902,-118.486500001061,"(34.0326388897902, -118.486500001061)"
160132798,10/23/2016 12:00:00 AM,2300,Public Intoxication,22ND ST / PICO BLVD,true,34.0202638889975,-118.467972222013,"(34.0202638889975, -118.467972222013)"
160132823,10/23/2016 12:00:00 AM,0640,Larceny - From Vehicle,500BLK ALTA AVE,true,34.0275138892249,-118.505194444009,"(34.0275138892249, -118.505194444009)"
160132828,10/24/2016 12:00:00 AM,2300,Public Intoxication,OCEAN AVE / COLORADO AVE,false,34.0114166666667,-118.494861111111,"(34.0114166666667, -118.494861111111)"
160132830,10/24/2016 12:00:00 AM,0990,Arson-All Others,LINCOLN BLVD / COLORADO AVE,true,34.0167777777778,-118.488222222222,"(34.0167777777778, -118.488222222222)"
